CompanyName,Location,Description,HyperLink
"Bexel | NEP Broadcast Services - Los Angeles, CA","Van Nuys, California","Bexel, an NEP Broadcast Services Company, is celebrating more than 40 years of being a leader in outsourced innovative broadcast solutions for producers of sports, entertainment, and live events. We take pride in servicing our customers’ unique needs and meeting the demands of a changing production…",https://www.productionhub.com/profiles/details/39244
CP Communications - Florida,"St. Petersburg, Florida","ST. PETERSBURG, Fla.—  CP Communications is a leading provider of live event broadcast production solutions. We provide customized mission-critical audio, video and communications solutions to the premium sports, entertainment, corporate, news, and other live events production markets.

For over…",https://www.productionhub.com/profiles/details/310618
AMP Studios,"Dallas, Texas","Located in North Dallas, this 10,000 square foot film and photography studio production complex offers plenty of space for your next shoot or production. With cutting-edge lighting control, fully sound-treated walls and ceilings, on-site amenities and multi-functional support spaces, our studios…",https://www.productionhub.com/profiles/details/340877
Crystal Pyramid Productions,"San Diego, California","AWARD-WINNING Video & Film Production Services since 1981 in San Diego, LA & more. Expert Crews & Gear, Half & Full-Day Rates & STUDIO. Call 619-644-3000.2 Sony FS7 II's 4K & 3 Sony HD CineAlta's w/21x & 55x lenses, Teleprompters, Live Streaming/Webcasting, Audio,…",https://www.productionhub.com/profiles/details/126586
Be Electric Studios,"Brooklyn, New York","Level 2 Qualified Production Facility with 10 soundstages and a full-service equipment rental house in Brooklyn, NYC, participating in the New York State Film Production Tax Credit Program. All of our soundstages are qualified for the tax credit, and we can discuss the process with you.

Be…",https://www.productionhub.com/profiles/details/306182
Redman Movies and Stories,"Salt Lake City, Utah","Redman Movies and Stories is a Full Service Grip, Electric, Still Photo and Camera Rental company with 35 years experience in helping your success producing quality films, video and still photo work in the Intermountain west. We have the knowledge, the inventory and the experienced crew to help you…",https://www.productionhub.com/profiles/details/307662
Tribeca Teleprompting,"East Hanover, New Jersey","From On-camera to Presidential, SLR to Steadicam, Live Network Broadcast to Madison Square Garden - we have years of experience with all kinds of prompting setups.

We serve the Tri-State area and love last minute gigs!

From bid to wrap we guarantee flawless service.  No matter the job, big or…",https://www.productionhub.com/profiles/details/306716
New & Unique Videos,"San Diego, California","Video Production & Stock Footage with partner Crystal Pyramid Productions since 1981 in San Diego California, LA & Beyond! Award Winning CREWS + 2 NEW 4K Sony FS7 II's +Sony HD XD-cam's, STUDIO, Teleprompters/Interrotron, LEDs, etc. available 24/7 also! Call NOW 619-644-3000. : Inside Edition, ABC,…",https://www.productionhub.com/profiles/details/124432
Moving Picture Rental: Miami / Fort Lauderdale,"Fort Lauderdale, Florida","Serving Miami & Fort Lauderdale!

Moving Picture Rental is your South Florida One-Stop-Shop for all your film and video production rental needs, serving the greater Miami area since 1987.  
•  As your on-site production partner we share our collective film-making experience – guiding your team…",https://www.productionhub.com/profiles/details/806
CP Communications - Georgia,"Atlanta, Georgia","ATLANTA, Georgia —  CP Communications is a leading provider of live event broadcast production solutions. We provide customized mission-critical audio, video and communications solutions to the premium sports, entertainment, corporate, news, and other live events production markets.

For over…",https://www.productionhub.com/profiles/details/354353
Reel Men,"Phoenix, Arizona","The largest full service provider of rental equipment for the Film, Video and Still Industries in Arizona.  With our recent expansion, we've also added the premier rental studio in the state... we now offer all the gear and studio space you need when shooting in Arizona!

Our large local…",https://www.productionhub.com/profiles/details/253482
MAS Pro Video,"Grinnell, Iowa","MAS Pro Video provides: 

Production support services: Location crews, multi-camera systems, streaming, equipment rentals, 1.5 ton grip/electric package, and teleprompters. 

As a full service production company: We bring projects from concept to completion, with creativity, effectiveness,…",https://www.productionhub.com/profiles/details/164329
"FastLights.com - Boston, Massachusetts","Boston, Massachusetts","Rent lighting equipment and grip trucks for video, film, and still photography. Local film crew and video crew available. Rent van package, sprinter package, 1 ton truck, 3 ton truck, and 5 ton truck packages available as local gear, with gaffer and local film crew. Open 24/ 7. CALL 855–922-5600…",https://www.productionhub.com/profiles/details/289805
Shade Tree Audio Rentals,"Decatur, Georgia","Shade Tree Rentals (STR) is a white glove audio equipment rental house servicing clients nationwide. STR can provide expendables, location audio, and audio build outs.",https://www.productionhub.com/profiles/details/355679
Seventy 7 Productions,"Detroit, Michigan","We have worked with Nicki Minaj, Kendrick Lamar, B.o.B., Big Sean, Eva Mendes, Henry Winkler, Michael J. Fox, Brian Unger, Judy Greer, NASCAR Driver Tony Stewart, Basketball Great Magic Johnson, Denis Leary, Aloe Blacc, Green Bay Packers' Clay Matthews, Cy Young Winner Justin Verlander, Detroit…",https://www.productionhub.com/profiles/details/220430
Universal Production Services - Chicago,"Chicago, Illinois","Universal Production Services provides high quality set lighting and grip equipment including overall packages. With an extensive inventory, we provide a full range of equipment rentals and services for features, TV, streaming and commercial projects. This facility features: 
 
•	Modern LED…",https://www.productionhub.com/profiles/details/335051
SmartSource - New York,"New York, New York","Computer & Office Equipment Rentals for Television & Movie Production. Large & Small Event Services & Solutions, including Virtual, Hybrid, and Live Events.
With more than 35 years of experience working with creatives in the entertainment industry, we understand that every project is different.…",https://www.productionhub.com/profiles/details/350045
Universal Production Services - UK,"Borehamwood, Hertfordshire, United Kingdom","Universal Production Services UK provides high quality set lighting and grip equipment including packages and pre-loaded grip trucks. With an extensive inventory, we provide a full range of equipment rentals and services for features, TV, streaming and commercial projects all over the UK. This…",https://www.productionhub.com/profiles/details/338000
MP&E Cameras and Lighting - Dallas,"Carrollton, Texas","MP&E + GEAR Cameras and Lighting is a regional rental company for broadcast, cinema, grip and electric production tools and equipment.  With offices in Austin, Dallas, Denver and Phoenix, we offer the widest and deepest selection of cameras and lenses available.  We also offer a full range of…",https://www.productionhub.com/profiles/details/173108
4Energy Services Inc.,"Calgary, Alberta","WE ARE a location support equipment rental company.

Our team has the tools, the attitude and 30 + years of experience in
Film / Television / Trade Shows / Corporate Events.

We have you covered with 
Pop Up Tents to Traffic Cones. 
Directors Chairs to GoPro Cameras. 
Tables/Chairs,…",https://www.productionhub.com/profiles/details/356509
Stage Th!s,"Los Angeles, California","Stage TH!S is home of one of the largest 3-wall infinity cycs in Los Angeles. Multiple Unique stages, studios, green screens and prelit stages throughout the Los Angeles area. 

Stage TH!S was formed through the collective inspiration of industry professionals; DP's, Gaffers, and Producers-…",https://www.productionhub.com/profiles/details/262151
Universal Production Services - New Mexico,"Albuquerque, New Mexico","Universal Production Services provides high quality Set lighting & Grip equipment including packages as well as Transportation services. With an extensive inventory, we provide a full range of equipment rentals and services for features, TV, streaming and commercial projects. This facility…",https://www.productionhub.com/profiles/details/337995
Triad Media,"Austin, Texas","Triad Media is a full-service production company based in Austin, Texas. We offer a range of professional services from initial concept to post production.

We shape ideas into content that connects with audiences through powerful cinematic visuals and sound. Media production is always evolving…",https://www.productionhub.com/profiles/details/319469
SmartSource - Atlanta,"Atlanta, Georgia","Computer & Office Equipment Rentals for Television & Movie Production. Large & Small Event Services & Solutions, including Virtual, Hybrid, and Live Events.
With more than 35 years of experience working with creatives in the entertainment industry, we understand that every project is different.…",https://www.productionhub.com/profiles/details/350046
MophoRentals.com,"St. Bonifacius, Minnesota","We are an online based camera, lens and accessory rental company. We rent out Specialty lenses and Cameras, DSLR Cinema Lenses, Cameras, Accessories, Support/Rigs, Sound/Lighting Equipment and more. We ship throughout the USA. (Minnesota local pickup available.)

Hdslr video has become a standard…",https://www.productionhub.com/profiles/details/252649
Universal Production Services - Atlanta,"Atlanta, Georgia","Universal Production Services provides high quality set lighting and grip equipment including overall packages. With an extensive inventory, we provide a full range of equipment rentals and services for features, TV, streaming and commercial projects. This facility features: 
 
•	Modern LED…",https://www.productionhub.com/profiles/details/335050
MP&E Cameras and Lighting - Colorado,"Denver, Colorado","MP&E + GEAR Cameras and Lighting is a regional rental company for broadcast, cinema, grip and electric production tools and equipment.  With offices in Austin, Dallas, Denver and Phoenix, we offer the widest and deepest selection of cameras and lenses available.  We also offer a full range of…",https://www.productionhub.com/profiles/details/190309
Broadcast Rentals,"Tempe, Arizona","Arizona’s premier rental company for cinematic, broadcast, and audio visual equipment and services. We also provide prompting and live event streaming services. BR offers a full line of cameras, hard drive recorders, projectors, lenses, monitors and production and audio visual support equipment.…",https://www.productionhub.com/profiles/details/285994
"Tinsley Film & Video, Inc.","Richmond, Virginia","With 30+ years experience in broadcast, TF&V offers proven expertise. Our camera packages include:
 
Sony PXW- FX9
Sony ILFM-FX3 
Sony PXW-FS5
(2) Sony PXW-FS 7  (one cinema style, one documentary style), 
Sony FS700 package 
Panasonic HPX500 P2 package (432Gb of P2 media)
Sony primes 6…",https://www.productionhub.com/profiles/details/20897
Mighty Grip and Lighting,"Fort Lauderdale, Florida","Gaffer / Cheif Lighting Technitian and Owner at: 
Mighty Grip and Lighting
Miami / Fort Lauderdale Lighting and Grip 
Fully loaded 1, 3 and 5 Ton Grip/lighting packages 
2 ton Sprinter van package and 1 ton sprinter van packages 
The owner/operator experience! 
Specialty lighting, Lite Gear,…",https://www.productionhub.com/profiles/details/350884
Alexa Mini Package Rental by Streetlight Productions LLC,"Tampa, Florida","Alexa Mini Package rental! Teradek Bolt 4k wireless system with additional systems makes sure anyone on set who wants a monitor can get one. DZO Prime 6 lens set moves quick @ T2.1. Built by working industry professionals, our Alexa Mini package makes sure camera department doesn't just get what…",https://www.productionhub.com/profiles/details/355326
Film Gear Rentals,"North Little Rock, Arkansas","Film Gear Rentals is your one stop shop for Film and Video Production support. We provide lighting, grip, power, cameras, camera support, crew, and anything else you need to get your production done right. We carry HMI, FLOURESCENT and LED including ARRI, KINO, LITEPANELS, Astera Titan Tubes,…",https://www.productionhub.com/profiles/details/190702
"Universal Production Services - Long Island City, NY","Long Island City, New York","Universal Production Services provides high quality set lighting and grip equipment including overall packages. With an extensive inventory, we provide a full range of equipment rentals and services for features, TV, streaming and commercial projects in the tri-state area. This facility features:…",https://www.productionhub.com/profiles/details/335042
SmartSource - Chicago,"Chicago, Illinois","Computer & Office Equipment Rentals for Television & Movie Production. Large & Small Event Services & Solutions, including Virtual, Hybrid, and Live Events.
With more than 35 years of experience working with creatives in the entertainment industry, we understand that every project is different.…",https://www.productionhub.com/profiles/details/350049
Global Filmz Studios,"Fort Lauderdale, Florida","Photo & Video Production Touchless Smart Studio |  Standing Film Sets | Creative Space

Our Fort Lauderdale Location is a 2500sqft state of the art Photography, Film and Video Production Smart Studio. The entire studio is a hands-free facility and controlled by voice activation such as music,…",https://www.productionhub.com/profiles/details/356675
SmartSource - Los Angeles,"Hawthorne, California","Computer & Office Equipment Rentals for Television & Movie Production. Large & Small Event Services & Solutions, including Virtual, Hybrid, and Live Events.
With more than 35 years of experience working with creatives in the entertainment industry, we understand that every project is different.…",https://www.productionhub.com/profiles/details/350038
Image Brew,"Denver, Colorado","Image Brew is a creative production company headquartered in Denver, CO. We produce visual content for an eclectic mix of brands and advertisers. Some of our best work comes when we collaborate with organizations to develop bold ideas.  Our modular structure allows for integration into a project…",https://www.productionhub.com/profiles/details/340538
SmartSource - Las Vegas,"Las Vegas, Nevada","Computer & Office Equipment Rentals for Television & Movie Production. Large & Small Event Services & Solutions, including Virtual, Hybrid, and Live Events.
With more than 35 years of experience working with creatives in the entertainment industry, we understand that every project is different.…",https://www.productionhub.com/profiles/details/350048
CereProds,"Guaynabo, Puerto Rico","Production services for documentary, corporate, commercial, music promo, TV and film. Crew and equipment hire, location scouting, management and filming permits. Helping qualified productions utilize incredible tax incentives unique to Puerto Rico since 2015. We have worked alongside companies,…",https://www.productionhub.com/profiles/details/324288
Swinger Grip and Lighting Rentals,"Calgary, Alberta","We offer grip and lighting van packages that are well suited for the independent and commercial film industry. The van is available for pick up and drop off rental, or we can provide a driver / swing to deliver and manage the equipment on set.",https://www.productionhub.com/profiles/details/354866
VER - New Jersey,"Secaucus, New Jersey","VER is a leading, global provider of production equipment and engineering solutions. With the world’s largest inventory of rental equipment, VER supplies the most advanced technology to a broad array of clients in the corporate, TV, cinema, live events and broadcast markets. Clients rely on VER’s…",https://www.productionhub.com/profiles/details/315019
SmartSource - Orlando,"Orlando, Florida","Computer & Office Equipment Rentals for Television & Movie Production. Large & Small Event Services & Solutions, including Virtual, Hybrid, and Live Events.
With more than 35 years of experience working with creatives in the entertainment industry, we understand that every project is different.…",https://www.productionhub.com/profiles/details/350047
I Said Jimmy Grip and Electric,"Dallas, Texas","As Gaffer, owner/operator of “I said Jimmy” Grip and Electric, I push for the best on every project. I’m professional, flexible and easy to work with. I have worked on hundreds of food table top projects, commercials for broadcast and high end corporate what not,  CEO interviews, music videos,…",https://www.productionhub.com/profiles/details/291701
MP&E Cameras and Lighting -  Austin,"Austin, Texas","MP&E + GEAR Cameras and Lighting is a regional rental company for broadcast, cinema, grip and electric production tools and equipment.  With offices in Austin, Dallas, Denver and Phoenix, we offer the widest and deepest selection of cameras and lenses available.  We also offer a full range of…",https://www.productionhub.com/profiles/details/42538
Triad Camera,"Winston Salem, North Carolina","Triad Camera is a camera equipment rental house located in the Piedmont Triad of North Carolina. We help customers based in our backyard, across the state, and beyond. No project is too big or too small. Whether you need a single filter tray, or a ready to shoot camera package, we have…",https://www.productionhub.com/profiles/details/322938
Brooklyn Lighting & Grip Co.,"Long Island City, New York","Brooklyn Lighting & Grip Co. is an independent-spirited, full-service rental house offering lighting and grip rentals for productions of all sizes. Founded and run by a team of experienced gaffers, we offer flexible packages customized to your production's needs, with delivery options available.",https://www.productionhub.com/profiles/details/338942
PRG - Nashville,"La Vergne, Tennessee","PRG is the world’s leading provider of services, solutions, and equipment in entertainment and events. We bring industry-leading creativity, experience and technology to every project we undertake. Our teams consist of the most accomplished experts, engineers and craftspeople working in theatre,…",https://www.productionhub.com/profiles/details/216513
MP&E Cameras and Lighting - Arizona,"Scottsdale, Arizona","MP&E + GEAR Cameras and Lighting is a regional rental company for broadcast, cinema, grip and electric production tools and equipment.  With offices in Austin, Dallas, Denver and Phoenix, we offer the widest and deepest selection of cameras and lenses available.  We also offer a full range of…",https://www.productionhub.com/profiles/details/166102
Robin Lisagor Productions,"Phoenix, Arizona","35 years of teleprompting experience. Teleprompter equipment (presidential, on-camera and free standing), as well as prompter & PowerPoint Notes operators for both live and zoom corporate meetings and events, video production, television, infomercials, concert tours and awards ceremonies. Courteous…",https://www.productionhub.com/profiles/details/168388
603 Productions,"Las Cruces, New Mexico","603 Productions - Southern New Mexico's home for Grip, Lighting, and Sound Rental.  Offering industry quality  equipment covering all aspects of film production in New Mexico.  We tailor our packages to withstand our sometimes harsh environment, things you may not consider unless you are from the…",https://www.productionhub.com/profiles/details/349891
PRG - Atlanta Camera,"Atlanta, Georgia","PRG is the world’s leading provider of services, solutions, and equipment in entertainment and events. We bring industry-leading creativity, experience and technology to every project we undertake. Our teams consist of the most accomplished experts, engineers and craftspeople working in theatre,…",https://www.productionhub.com/profiles/details/129779
PRG Camera - Brooklyn,"Brooklyn, New York","PRG is the world’s leading provider of services, solutions, and equipment in entertainment and events. We bring industry-leading creativity, experience and technology to every project we undertake. Our teams consist of the most accomplished experts, engineers and craftspeople working in theatre,…",https://www.productionhub.com/profiles/details/157455
PRG - Miami,"Davie, Florida","PRG is the world’s leading provider of services, solutions, and equipment in entertainment and events. We bring industry-leading creativity, experience and technology to every project we undertake. Our teams consist of the most accomplished experts, engineers and craftspeople working in theatre,…",https://www.productionhub.com/profiles/details/173043
PRG - Toronto,"Etobicoke, Ontario","PRG is the world’s leading provider of services, solutions, and equipment in entertainment and events. We bring industry-leading creativity, experience and technology to every project we undertake. Our teams consist of the most accomplished experts, engineers and craftspeople working in theatre,…",https://www.productionhub.com/profiles/details/216519
PRG  - Chicago Camera,"Chicago, Illinois","PRG is the world’s leading provider of services, solutions, and equipment in entertainment and events. We bring industry-leading creativity, experience and technology to every project we undertake. Our teams consist of the most accomplished experts, engineers and craftspeople working in theatre,…",https://www.productionhub.com/profiles/details/135231
PRG - New Orleans Camera,"Metairie, Louisiana","PRG is the world’s leading provider of services, solutions, and equipment in entertainment and events. We bring industry-leading creativity, experience and technology to every project we undertake. Our teams consist of the most accomplished experts, engineers and craftspeople working in theatre,…",https://www.productionhub.com/profiles/details/129783
Production Rockstars - Las Vegas,"Las Vegas, Nevada","A boutique firm commanding attention at the intersection of live TV + events & digital + creative media. We provide technical production management, event production, live streaming, crewing, production/creative design, for the sports, entertainment, corporate, and brand sectors. 

Physically…",https://www.productionhub.com/profiles/details/316946
Affordable Imports TT - Online Camera Store,"Port of Spain, Trinidad and Tobago","We offer both rentals and sales in the twin-island Republic of Trinidad and Tobago.
Over the years Affordable Imports TT has networked with persons in our local budding industry in both the photography and film fields.

You can see our full rental lineup as well as availability via our…",https://www.productionhub.com/profiles/details/352448
Bright Giant Creative Group,"Austin, Texas","Big Thoughts. Cool Media. That about sums it up. We help organizations create impressive, high-impact multimedia projects.

Our specialties are:
• Engaging digital video
• Interactive e-learning
• Media-rich presentations

Note: We can also provide support for any audio/video project and…",https://www.productionhub.com/profiles/details/246135
"High Output, Inc. - Charleston","Charleston, South Carolina",High Output Charleston opened in 1996 as South Carolina’s first lighting and grip supplier for Film + Television and Theatre + Performance productions. Charleston has recently had significant growth in Systems Design + Installations and now offers services in Special Event Production and Still…,https://www.productionhub.com/profiles/details/17529
"Digital Media Systems, Inc","New York, New York","Total Projection and Sound services to the motion picture and broadcast industries. Digital Media Systems Inc. is a recognized leader in the Cinema and Broadcast post production, Distribution, and Exhibition fields. Based in New York City, our company provides experienced engineers for all aspects…",https://www.productionhub.com/profiles/details/285640
WCB Films,"Los Angeles, California","DIRECTORS - PRODUCERS - CINEMATOGRAPHERS - CAMERA AND SOUND OPS - PRE-PRODUCTION - PRODUCTION - POST-PRODUCTION​ - MULTICAMERA - RED, Canon C300 Mark III , Canon C200, BMPCC - LIGHTING AND SOUND PACKAGES - TRAVEL READY (COVID-19 VACCINATED*)

WCB Films emphasizes personal and meaningful…",https://www.productionhub.com/profiles/details/334439
"Rentex Audio Visual & Computer Rentals - Boston, MA","Canton, Massachusetts","Rentex is one of the largest and most trusted wholesale providers of AV, Production, and Computer rental equipment in the nation. We are a longtime leader in the subrental market supplying equipment to the nation’s largest AV rental, staging, production, and other live event companies.

As a…",https://www.productionhub.com/profiles/details/151950
KeyLite Productions,"Findlay, Ohio","KeyLite Production is your one-stop in Toledo, Findlay and  NW Ohio for video production and media-marketing services.

We assist small to medium size area businesses and start-up companies looking for a thorough, effective, and grounded approach to media marketing. Our staff will work with you…",https://www.productionhub.com/profiles/details/201219
Ironik Design & Post,"Avon, Connecticut","Ironik Design and Post (www.ironikdesign.com) is an independently owned rental and post production facility offering a full line of turnkey high-end traveling edit systems with 24/7 Technical Support.  Based in New York City and Connecticut, Ironik serves the film and broadcast industries both…",https://www.productionhub.com/profiles/details/184589
DV Depot Studio and Equipment Rental House,"Long Island City, New York","dvDepot is the an efficient all-in-one Digital Video Production Media Company with our new facility located in Long Island City, Queens. We offer equipment rentals, office space, crewing and editing services, and a new 1,200sqft studio with light grid, green screen, black, or white backdrops with 2…",https://www.productionhub.com/profiles/details/224016
Screen Gems Studios LTD,"Wilmington, North Carolina","The full-service studio complex offers 10 North Carolina sound stages with 250,000 sq ft of production space. This is the largest full service motion picture facility in the United States east of California. Over its 20-year history, EUE Screen Gems Studios North Carolina has been the home to over…",https://www.productionhub.com/profiles/details/20588
Conveyance Media LLC. & Sustainability Media,"San Francisco, California","Greetings,

We are a full service production house with Producer, Director of Photography, editor, VR shooter, Drone Op and editor, and Crewing Agency at your disposal.  Having over 18 years experience serving a wide variety of Corporate, PR, and Non-Profit clients we have a wide array of…",https://www.productionhub.com/profiles/details/152644
Vitruvian Entertainment,"Burbank, California","VITURVIAN ENTERTAINMENT home is in a 9,000 square foot state of the art facility. We offer the best and latest technology in virtual production, motion capture, 3D animation, stereo, event, live and post-production services. Our Clients create content for film, television, commercials,…",https://www.productionhub.com/profiles/details/276028
Cam-a-lot,"Amsterdam, Netherlands","Cam-a-lot is a professional video rental company located on the Amstel Business Park, close to the beltway around Amsterdam. The Amstel Business Park is the oldest film area in The Netherlands where studios, production companies and other rental facilities are located. 

In 1997 Philippe Vié and…",https://www.productionhub.com/profiles/details/266479
Available Lighting Inc,"New Orleans, Louisiana","Available Lighting, Inc. is a full service grip & lighting equipment company in Louisiana. Located in New Orleans and serving the Baton Rouge and Mississippi we have 5 grip trucks from 5 ton to 1 ton and carry a full line of HMI's, tungsten lighting, Kino Flos, Chimeras, Crawford generators, Fisher…",https://www.productionhub.com/profiles/details/46736
Independent Tutoring Services Inc. STUDIO I,"Davie, Florida","STUDIO I has audio and vendor equipment available for rent in the Broward County, Florida area.

We have available:

Microphones with boom stands and clips
PA Speakers with stands (AC powered)
Music stands (full size)
16/4/2 Audio Mixer with Built in EQ and Preamps
Necessary cables.
Expo…",https://www.productionhub.com/profiles/details/272042
TNN Venture Malaysia Sdn Bhd.,"Ampang, Malaysia","TNN – Television News Network is a premier in Multimedia News Agency Services in Pakistan And Malaysia. We constantly stay ahead in providing services to our clients up to the level of their satisfaction.
Our head office is located in Karachi, Pakistan with the bureau offices in Islamabad, Lahore,…",https://www.productionhub.com/profiles/details/190660
Big Vision,"Burbank, California","Big Vision Rentals is a director’s and producer’s dream. We are a broadcast mall with multiple facets where you can get everything you need, in a single place, without ever having to leave your office.

Efficient, Professional, Satisfied, Timely, Positive. These are just some of the words that…",https://www.productionhub.com/profiles/details/211518
Temp Power,"Manassas, Virginia","Homeland 2018, Harriet 2019, Ithaca 2015, Turn 2014-2017, Loving 2016, Imperium 2016, Mercy St 2016-2017.

Studio generators, power distribution, light balloons, light towers and HVAC. Trailer mounted generators from 200-1600 amps, all perfectly maintained. Now with offices in Baltimore,  MD…",https://www.productionhub.com/profiles/details/30151
Metrotalk Inc.,"Lorton, Virginia","Metrotalk Inc. provides only High power 4-5 watt, 16 channel compact Commercial Portable UHF two-way radios with display by the Day, Week, Month or Year. We also offer mobile radios and portable repeaters. FCC licensed for use anywhere in the continental US.
  
NOW available HYTERA DMR DIGITAL…",https://www.productionhub.com/profiles/details/160253
"Flanders Scientific, Inc.","Alpharetta, Georgia","Flanders Scientific is a US based company committed to bringing you the best in professional production, broadcast, and post production equipment at industry leading prices. Our specialty is Professional Broadcast Monitors. We produce professional displays designed for every monitoring need in your…",https://www.productionhub.com/profiles/details/190249
Light Modifiers Rental,"Chicago, Illinois","Light Modifiers has been proudly serving Chicagoland and the Midwest for over 3 years, providing exceptional film and television lighting services with friendly union and non-union professionals. With the business growing just as fast as the Chicago Film Industry, Light Modifiers wanted to help…",https://www.productionhub.com/profiles/details/331218
Trew Audio,"Hollywood, California","Trew Audio sells, rents and services location sound equipment to the film, tv and video production industry, with branches in L.A., Nashville, Toronto and Vancouver. We have a huge inventory of professional sound equipment for your production needs. From the newest digital wireless systems and…",https://www.productionhub.com/profiles/details/130314
Public Studio,"Tulum, Mexico","Our team has been involved in the field of photography and production for several years now, we have been part of international crews and have had the pleasure of helping and collaborating with very demanding projects and photographers, so we understand how it works and we make it simple and solve…",https://www.productionhub.com/profiles/details/356164
Back Lion Rentals,"Birmingham, Alabama","Back Lion originally opened its doors in 2008 by Mr. Bunky Anderson as a full service back line company. Back Lion slowly emerged as a major resource for many backline rental needs. Back Lion was recently purchased by the Wingos and is now called Back Lion Rentals, LLC. Mr. Anderson had crafted a…",https://www.productionhub.com/profiles/details/330024
Camera Ambassador,"Chicago, Illinois","Camera Ambassador is the only chicago-based rental house providing camera, lenses, accessories, grip (trucks too!) and lighting. Their mission is to enable artists through providing the highest quality equipment paired with genuine support of community and creation.",https://www.productionhub.com/profiles/details/331545
